Year,Month,tmax(degC),tmin(degC),ppt(mm),aet(mm)
1979,1,-4.25,-9.61,32.1,0
1979,2,-2.35,-9.04,16.7,0
1979,3,4.22,-1.21,46.1,15.9
1979,4,10.78,1.93,27.1,55.8
1979,5,19.74,7.71,28,77.5
1979,6,24.13,11.97,44.8,61.4
1979,7,18.75,10.74,87.2,86.7
1979,8,20.9,11.98,78.9,76.8
1979,9,17.05,9.1,92.2,54.7
1979,10,11.03,2.02,23.6,26.4
1979,11,4.69,0.57,47.6,13.8
1979,12,2.86,-1.22,52.9,3.5
1980,1,-3.61,-9.36,24.1,0
1980,2,-0.61,-5.6,18.2,0
1980,3,2.48,-4.35,26.6,2.2
1980,4,10.43,1.64,52.5,49.3
1980,5,14.08,4.17,27.3,64.6
1980,6,20.29,10.11,107.7,96.2
1980,7,20.44,12.39,141.9,84.5
1980,8,19.99,12.1,78.9,78.7
1980,9,16.97,8.66,61.5,50.5
1980,10,11.43,5.36,78.6,30.3
1980,11,4.05,-0.59,40.6,11.3
1980,12,1.5,-2.58,54.6,0.8
1981,1,-1.12,-5.83,39.4,0
1981,2,0.77,-3.94,28.8,0.5
1981,3,7,0.19,42.7,31.2
1981,4,10.66,0.79,25.9,50.1
1981,5,19.48,7.97,40.8,72.2
1981,6,20.76,11.2,114.1,98.2
1981,7,22.16,12.38,126.5,100.8
1981,8,20.79,11.66,70.9,77.2
1981,9,18.04,9.11,39.8,44
1981,10,11.79,5.34,81.7,32.7
1981,11,5.58,1.15,71.3,18.3
1981,12,-1.83,-6.68,47,0
1982,1,-2.33,-7.27,44.9,0
1982,2,-0.39,-5.07,8.9,0
1982,3,7.27,0.15,22.8,35.8
1982,4,10.19,1.28,25.3,47.8
1982,5,18.04,7.14,41.4,68.7
1982,6,20.13,9.45,78.4,88.3
1982,7,23.9,12.93,53.6,61.6
1982,8,23.31,12.16,44.4,47.7
1982,9,19.92,9.29,16,18.6
1982,10,13,5.24,33.6,30.2
1982,11,7.51,2.37,30.4,17.6
1982,12,2.62,-1.09,42.4,4.1
1983,1,4.22,0.72,51,13
1983,2,-0.34,-5.36,25.7,0
1983,3,6.71,0.9,45.9,27.5
1983,4,13.43,4.24,44.9,53.4
1983,5,18.9,8.72,69.8,81.8
1983,6,21.05,10.25,37.2,73.9
1983,7,24.42,13.31,34.8,43.5
1983,8,24.09,12.17,46.8,49.8
1983,9,18.38,9.99,53.2,53.2
1983,10,12.19,5.85,41.4,37.3
1983,11,4.95,0.13,42.8,14
1983,12,0.86,-3.48,38.3,0.5
1984,1,0.99,-2.33,43.1,1
1984,2,-0.06,-4.36,21.9,0
1984,3,4.62,-2.47,24.4,14.2
1984,4,13.53,2.88,19.4,61.5
1984,5,18.05,7.94,50.6,73.2
1984,6,17.89,9.62,107.2,93.9
1984,7,19.95,11.2,75.9,85
1984,8,22.8,12.11,28.4,60.9
1984,9,16.11,8.89,113.3,52.2
1984,10,13.59,7.47,35.4,33.7
1984,11,4.86,-0.14,28.8,13.2
1984,12,0.3,-3.09,20.2,0.4
1985,1,-5.95,-12.4,29.4,0
1985,2,-5.49,-11.83,24,0
1985,3,4.36,-0.59,26.7,15.2
1985,4,11.96,2.57,27.7,53.2
1985,5,19.48,8.29,62.3,81.3
1985,6,18.94,10.16,106.8,97.7
1985,7,21.92,12.37,74.3,90.7
1985,8,21.93,12.71,94.5,86.3
1985,9,15.51,8.38,80.5,54.3
1985,10,11.84,5.85,18.3,21.6
1985,11,2.85,-1.43,35.3,6
1985,12,2.37,-1.92,55.7,1.4
1986,1,-0.2,-4.49,49.8,0
1986,2,-6.07,-12.99,14.2,0
1986,3,5.64,-1.42,24,22.4
1986,4,11.69,2.72,34.1,55.4
1986,5,19.34,7.94,61.7,84.3
1986,6,20.71,10.38,64.6,89
1986,7,22.64,12.36,67.6,80.8
1986,8,21.34,11.63,116.2,92.9
1986,9,14.38,7.24,56.9,54.3
1986,10,12.15,4.84,32.7,31.5
1986,11,7.43,2.96,35.7,16.5
1986,12,1.4,-2.68,56.3,1.1
1987,1,-7.83,-15.41,31.3,0
1987,2,0.26,-4.83,27.7,0
1987,3,1.26,-6.17,17.7,0
1987,4,10.86,2.52,31.4,53.8
1987,5,15.16,5.99,45,71.4
1987,6,19.27,9.78,96.1,92
1987,7,21.52,12.13,85.1,93.4
1987,8,19.18,10.77,84.3,81.3
1987,9,16.66,8.52,83.7,55.1
1987,10,12.47,4.57,36.6,32.5
1987,11,6.01,1.57,64.5,14.2
1987,12,2.14,-1.74,57.1,1.9
1988,1,1.42,-1.63,38.8,1.8
1988,2,2.08,-1.77,32.2,2.6
1988,3,4,-1.94,30.9,13.6
1988,4,11.75,2.1,17.8,62.7
1988,5,19.44,8.22,39.4,76.9
1988,6,20.44,11.28,98.3,97.9
1988,7,23.65,13.46,116.5,108.8
1988,8,21.44,12.22,50.8,67.7
1988,9,17.42,9.66,50.9,50.5
1988,10,12.23,3.82,20.2,23.5
1988,11,3.31,-2.17,62,5.2
1988,12,2.27,-2.08,59.4,2.2
1989,1,3.25,-0.28,23.8,6
1989,2,5.29,0.74,30.7,15.5
1989,3,8.77,2.15,31,37.7
1989,4,13.25,3.9,24.8,50.4
