Year,Month,tmax(degC),tmin(degC),ppt(mm),aet(mm)
1979,1,-4.18,-9.3,36.2,0
1979,2,-2.4,-8.83,17.2,0
1979,3,3.89,-1.07,47.1,14.8
1979,4,10.29,1.84,29.2,53.6
1979,5,19.28,7.79,25.6,75.1
1979,6,23.67,12.05,47.7,66.6
1979,7,18.53,11.07,94.5,91.4
1979,8,20.69,12.28,85.1,79.3
1979,9,16.88,9.51,94,53.9
1979,10,11.02,2.4,23.2,25.8
1979,11,4.61,0.65,46,12.4
1979,12,2.76,-1.12,52.2,3.4
1980,1,-3.4,-8.86,27,0
1980,2,-0.95,-5.69,21,0
1980,3,2.19,-4.35,26.7,1.9
1980,4,10.05,1.77,56.3,47.9
1980,5,13.56,4.39,26.2,62.8
1980,6,20.2,10.39,108.1,97.8
1980,7,20.39,12.72,141.5,84.3
1980,8,19.84,12.43,91.4,77.7
1980,9,17,9.19,63.5,50.4
1980,10,11.36,5.65,92,29.4
1980,11,3.91,-0.62,43.6,9.6
1980,12,1.65,-2.2,60,1.1
1981,1,-1.08,-5.49,41.1,0
1981,2,0.69,-3.76,32.7,0.5
1981,3,6.55,0.17,43.6,29.8
1981,4,10.14,0.83,27,49.5
1981,5,19.14,8.2,40,72
1981,6,20.31,11.28,124.6,96.7
1981,7,21.97,12.63,120.9,100.1
1981,8,20.57,11.98,76.3,78.6
1981,9,17.91,9.54,42.1,45.7
1981,10,11.76,5.72,87.9,32.3
1981,11,5.44,1.2,81,15.8
1981,12,-1.69,-6.39,50.1,0
1982,1,-2.3,-6.9,50.9,0
1982,2,-0.54,-4.87,8.7,0
1982,3,6.99,0.4,23.5,35.1
1982,4,9.71,1.46,25.2,46.7
1982,5,17.5,7.27,36.4,66.2
1982,6,19.56,9.41,82.9,90.1
1982,7,23.64,13.2,54.2,65.3
1982,8,23.08,12.47,48,52.1
1982,9,19.57,9.61,17.7,20.8
1982,10,12.93,5.53,34.1,28.9
1982,11,7.45,2.59,30,16.4
1982,12,2.76,-0.69,44.5,5.1
1983,1,4.1,0.97,55.4,11.2
1983,2,-0.37,-5.07,26.1,0
1983,3,6.43,1.05,50.3,26.8
1983,4,12.85,4.2,50.2,53.3
1983,5,18.48,8.83,74.2,82.4
1983,6,20.53,10.33,35.2,80.5
1983,7,24.06,13.51,34.8,45.8
1983,8,23.93,12.42,48.4,52.3
1983,9,18.36,10.46,62.4,60.2
1983,10,12.09,6.23,47.2,36.7
1983,11,4.87,0.3,48.4,12.3
1983,12,1.01,-2.98,39,0.7
1984,1,0.91,-2.04,48.7,1
1984,2,-0.16,-4.21,22.9,0
1984,3,4.44,-2.27,24.6,13.9
1984,4,13.19,2.99,20.4,59.9
1984,5,17.88,8.23,45.4,71.7
1984,6,17.62,9.84,115.5,93.3
1984,7,19.82,11.53,70.1,83
1984,8,22.63,12.46,32.4,61.9
1984,9,16.07,9.29,124.1,52.1
1984,10,13.51,7.82,41.7,32.5
1984,11,4.83,0.08,27.2,12
1984,12,0.53,-2.63,22.1,0.5
1985,1,-5.77,-12.06,33.4,0
1985,2,-5.69,-11.76,25.4,0
1985,3,4.11,-0.38,28.2,14.7
1985,4,11.33,2.43,29.1,52.8
1985,5,19.06,8.4,60,80.5
1985,6,18.73,10.36,109.9,98.3
1985,7,21.63,12.6,74.9,91.2
1985,8,21.66,13.04,92.9,82.2
1985,9,15.35,8.77,93.3,53.6
1985,10,11.9,6.34,21.4,23
1985,11,2.81,-1.28,38.1,5.6
1985,12,2.22,-1.89,56.4,1.2
1986,1,-0.34,-4.3,55.7,0
1986,2,-5.95,-12.54,15.9,0
1986,3,5.5,-1.15,24.3,22.4
1986,4,11.16,2.61,36.7,53.9
1986,5,18.78,8.02,58.1,81.3
1986,6,20.34,10.56,64.9,88.9
1986,7,22.37,12.68,64.7,79.5
1986,8,21.14,11.91,126.7,89.9
1986,9,14.3,7.69,64.4,55.1
1986,10,12.01,5.2,36.4,30.7
1986,11,7.3,3.16,37.8,14.7
1986,12,1.43,-2.48,57.6,1.1
1987,1,-7.68,-15,34.2,0
1987,2,0.14,-4.71,30.6,0
1987,3,1.11,-6.04,17.8,0
1987,4,10.23,2.43,30.8,50.8
1987,5,14.68,6.2,45.7,70.4
1987,6,18.76,9.8,100.6,91.5
1987,7,21.13,12.27,82.3,92.3
1987,8,18.97,11.07,89.2,78.5
1987,9,16.41,8.83,87.1,54.3
1987,10,12.46,4.89,37,31.8
1987,11,5.83,1.49,64.8,12.2
1987,12,2.25,-1.46,63,2.4
1988,1,1.23,-1.43,42.1,1.6
1988,2,1.88,-1.63,31.9,2.4
1988,3,3.85,-1.78,31.8,13.3
1988,4,11.15,2.1,19.2,61.8
1988,5,18.97,8.33,41.3,77
1988,6,20.27,11.42,96.5,97.4
1988,7,23.49,13.76,118.3,107.3
1988,8,21.18,12.56,54.4,70.5
1988,9,17.49,10.16,51.6,51.7
1988,10,12.15,4.07,22.5,25.8
1988,11,3.22,-2.05,63.9,4.7
1988,12,2.21,-1.99,62.5,2.2
1989,1,3.28,0.16,25.9,6
1989,2,5.15,1.01,31.4,15.3
1989,3,8.44,2.41,32.9,37.4
1989,4,12.82,3.93,25.2,49.6
1989,5,18.32,7.61,16.6,52.8
1989,6,20.23,10.69,74.8,81.5
1989,7,23.49,12.87,59.8,62.4
1989,8,21.47,12.6,57.4,58
1989,9,19.07,9.89,35.9,36.5
1989,10,12.85,7.46,66.3,30.8
1989,11,4.67,-0.4,44,9.2
1989,12,2.65,-2.24,58,2.1
1990,1,2.97,-0.39,25.1,4.3
1990,2,6.85,1.6,25.1,17.4
1990,3,9.65,3.14,36.1,42.7
1990,4,13.32,3.23,30.9,51
1990,5,18.38,7.58,57.8,78.9
1990,6,20.7,10.74,49.2,65.9
1990,7,20.62,12.37,73.7,78
1990,8,22.49,12.41,49.8,51.8
1990,9,14.76,8.43,107.8,49.3
1990,10,12.93,5.57,49.3,29.5
1990,11,6.16,2.31,59.1,12.2
1990,12,1.21,-1.96,34.3,1.4
1991,1,1.85,-2.54,21.1,0.9
1991,2,-1.7,-6.33,28.1,0
1991,3,6.81,1.29,19.9,26.5
1991,4,11.99,2.68,30.8,47
1991,5,13.83,5.61,55.7,67.2
1991,6,18.3,9.23,119.8,92.7
1991,7,23.56,13.67,42.1,86.2
1991,8,22.14,13.73,74.4,78.6
1991,9,18.57,9.84,48.8,51.1
1991,10,11.82,4.81,46,29
1991,11,5.79,1.9,49.2,13.6
1991,12,1.84,-2.67,48.2,1.1
1992,1,1.5,-2.91,22.5,0.7
1992,2,2.75,-1.03,35.6,4.1
1992,3,6.97,0.59,56.7,33.7
1992,4,10.87,3.11,33.4,47.6
1992,5,18.17,7.88,37.8,72.6
1992,6,23.62,11.78,19,38.7
1992,7,24.96,13.44,33.4,40
1992,8,24.7,14.04,52.1,54.2
1992,9,17.1,9.32,108.7,59.8
1992,10,8.67,2.85,40.3,27.8
1992,11,5.48,1.46,62.9,12.5
1992,12,1.6,-2.19,32,0.8
1993,1,2.04,-2.52,51.8,1.5
1993,2,1,-2.64,30.9,0.8
1993,3,5.04,-0.6,29.3,25.5
1993,4,13.13,3.74,15.2,49.1
1993,5,21.37,9.06,28.1,73.3
1993,6,19.14,9.9,81.2,86.5
1993,7,20.38,11.89,95.8,94
1993,8,19.96,11.47,93.6,86.1
1993,9,14.85,8.22,97.9,47.6
1993,10,11.07,4.66,13.1,19.3
1993,11,0.74,-3.56,24.7,0.6
1993,12,2.79,-0.67,70.7,4.2
1994,1,2.4,-0.68,70.2,3.9
1994,2,-1.44,-6.74,22.4,0
1994,3,5.92,0.6,67.4,28.8
1994,4,12.74,4.25,52.6,57.4
1994,5,16.36,6.3,47.8,72.6
1994,6,19.01,9.72,42.4,76.1
1994,7,27.06,14.78,17.4,27.4
1994,8,23.21,13.06,62.4,64.9
1994,9,17.71,10.59,72.1,54.4
1994,10,10.27,3.79,74.2,30.5
1994,11,6.34,1.25,42.8,14.2
1994,12,2.79,-0.91,71,3.4
1995,1,-0.09,-4.25,47.2,0
1995,2,4.56,0.18,37.6,11.6
1995,3,5.81,0.24,36.5,32.3
1995,4,11.8,3.22,44.7,55.2
1995,5,16.33,6.76,48.3,71.8
1995,6,20.46,10.95,76.9,87.9
1995,7,24.47,13.65,58.6,75.4
1995,8,23.84,12.54,89.6,89.3
1995,9,16.89,9.58,90.7,49.7
1995,10,14.19,7,21.3,22.4
1995,11,3.41,-1.77,34.9,5.2
1995,12,-2.48,-7.37,24.1,0
1996,1,-3.9,-8.34,13.1,0
1996,2,-2.78,-8.72,33.7,0
1996,3,2.48,-4.69,10,1.7
1996,4,12.79,2.02,22.5,61.3
1996,5,16.68,7.64,88.2,79
1996,6,19.86,10.18,47.6,81.7
1996,7,20.04,11.15,99.9,97.1
1996,8,23.32,12.99,78.7,82
1996,9,14.48,7.44,57.2,50.2
1996,10,12.68,6.04,42.5,23.6
1996,11,7.07,2.76,35.2,14.1
1996,12,-2.13,-7.04,14.2,0
1997,1,-1.6,-6.73,5.5,0
1997,2,3.37,-0.96,41.8,6
1997,3,6.32,-0.17,31.5,32
1997,4,8.99,1.26,38.8,49.9
1997,5,16.56,7.04,72.5,80.8
1997,6,20.8,10.75,54.5,81.2
1997,7,22.71,13.28,128.1,104.5
1997,8,25.21,13.28,37.8,67.7
1997,9,17.5,9.59,61.8,59.8
1997,10,9.85,4.18,102.8,27.4
1997,11,4.62,0.61,36,8.7
1997,12,1.1,-2.15,37.9,0.7
1998,1,2.2,-1.55,40.1,0.9
1998,2,4.71,0.36,44.9,11.9
1998,3,5.62,-1.09,45.2,29.4
1998,4,13.42,4.41,55,56.4
1998,5,18.32,8.12,46.6,77.4
1998,6,20.32,11.48,111.2,103.4
1998,7,20.89,12.31,87.2,91.4
1998,8,19.52,11.85,112.3,83.3
1998,9,17.68,9.04,48.7,50
1998,10,11.02,5.29,79.9,36.7
1998,11,1.39,-3.11,42.5,1
1998,12,0.3,-4.15,47.5,0.2
1999,1,1.32,-2.95,33.9,0.4
1999,2,0.64,-4.13,37.4,0.4
1999,3,7.61,0.53,30.3,29.9
1999,4,13.09,4.58,78.3,55.9
1999,5,16.61,6.28,64.9,81.9
1999,6,21.61,11.47,100.8,96.6
1999,7,25,14.44,63.9,95.3
1999,8,22.57,12.23,69.8,77
1999,9,20.97,10.79,31.3,40.9
1999,10,11.36,5.83,61.8,32.6
