Year,Month,tmax(degC),tmin(degC),ppt(mm),aet(mm)
1979,1,-4.38,-10.57,54.5,0
1979,2,-3.03,-10.45,19.3,0
1979,3,2.99,-2.15,58.8,5.7
1979,4,9.91,1.27,33.6,53.2
1979,5,19.49,7.26,29.2,77.7
1979,6,23.81,11.74,54.9,78.5
1979,7,18.15,10.75,111.2,96
1979,8,20.85,12.32,104.9,80.9
1979,9,17.09,9.35,80.1,56.6
1979,10,10.66,1.69,8.2,18.6
1979,11,4.46,-0.1,49.6,12.3
1979,12,1.97,-2.41,51.5,1.2
1980,1,-3.33,-9.8,34.7,0
1980,2,-2.1,-7.67,30.4,0
1980,3,0.61,-6.72,26.2,0
1980,4,9.84,1.63,51.2,44.7
1980,5,13.03,3.64,20.7,59.1
1980,6,20.48,10.21,86.3,90.7
1980,7,20.43,12.72,126.5,86.1
1980,8,19.62,12.12,117.8,78.9
1980,9,16.77,8.68,49.1,49.1
1980,10,11.23,5.49,131.6,29.6
1980,11,3.26,-1.7,51.7,5.4
1980,12,1.52,-3.02,77.1,0.9
1981,1,-1.27,-6.46,40.4,0
1981,2,0.31,-4.9,37.1,0
1981,3,4.87,-2.19,47.6,14.6
1981,4,9.37,-0.18,22.8,56.5
1981,5,19.07,7.81,54.1,80.4
1981,6,20.33,11.03,132.9,94.9
1981,7,22.18,12.8,99.2,101.1
1981,8,20.49,11.83,90.4,86
1981,9,17.9,9.16,31.5,43.8
1981,10,12.01,5.74,88.1,32.9
1981,11,4.89,0.48,112.9,16.1
1981,12,-1.6,-6.63,66.2,0
1982,1,-2.04,-7.21,66.4,0
1982,2,-1.1,-6.05,5.4,0
1982,3,5.91,-1.03,26,28.1
1982,4,9.21,1.04,25.1,50
1982,5,17.62,6.8,44.8,73.4
1982,6,18.85,8.49,70.8,84.6
1982,7,23.08,12.95,48.3,67.8
1982,8,22.96,11.91,59.9,65.6
1982,9,19.27,8.87,25,28.7
1982,10,12.24,4.63,22.5,22.4
1982,11,7.27,2.09,30.8,17
1982,12,2.66,-0.97,56.2,5
1983,1,4.18,0.29,85.1,9.9
1983,2,-0.79,-6.24,25,0
1983,3,5.17,-0.72,68.5,18.2
1983,4,12.85,4.08,58.7,54.1
1983,5,19.22,9,80.9,85
1983,6,20.08,9.64,37.8,82.9
1983,7,23.25,12.85,35.6,55.4
1983,8,24.1,12.06,39.1,45.9
1983,9,18.72,10.23,60.7,59.6
1983,10,11.95,5.78,51.9,36.4
1983,11,4.53,-0.28,65.2,12.1
1983,12,0.85,-3.55,41.2,0.7
1984,1,0.98,-2.63,61.9,0.8
1984,2,-0.99,-5.57,26.3,0
1984,3,3.5,-3.26,24.3,5.4
1984,4,13.49,2.94,18.3,60
1984,5,18.29,8.29,41.5,72.7
1984,6,17.42,9.61,107.3,93.7
1984,7,19.67,11.43,66.9,81.6
1984,8,22.58,12.17,34.3,58.8
1984,9,16.12,9.34,129,52.6
1984,10,13.43,7.52,49.9,33.4
1984,11,4.19,-0.81,28.1,9
1984,12,0.13,-3.22,26.3,0.4
1985,1,-6.67,-13.72,42.3,0
1985,2,-7.59,-14.53,24.6,0
1985,3,2.9,-1.84,34.9,4.9
1985,4,10.8,1.76,38.2,51.2
1985,5,19.03,8.04,50.6,77.6
1985,6,18.63,10.17,105.4,100.1
1985,7,20.92,12.25,72.4,87
1985,8,22.39,13.5,84.7,83.7
1985,9,15.15,8.34,91.9,56.4
1985,10,12.01,6.37,37.6,25.9
1985,11,2.62,-1.62,51.5,4.8
1985,12,1.18,-3.41,62.1,0.4
1986,1,-0.28,-4.85,75.3,0
1986,2,-6.83,-14.08,17,0
1986,3,4.79,-2.11,24.2,14.3
1986,4,11.35,2.73,40.4,53.9
1986,5,18.64,7.41,51.5,77.6
1986,6,20.63,10.72,60.7,88.5
1986,7,22.25,12.65,54.1,70.1
1986,8,21.2,11.98,115.7,91.1
1986,9,14.05,7.24,77.5,55.5
1986,10,11.83,4.67,42.5,31.1
1986,11,7.17,2.69,55,17
1986,12,0.59,-3.79,59.6,0.5
1987,1,-9.06,-17.65,37,0
1987,2,0.05,-5.56,37.4,0
1987,3,0.13,-7.89,15.3,0
1987,4,9.3,1.37,21.3,48.1
1987,5,14.97,6.09,60.8,74.6
1987,6,18.65,9.62,121.2,90.4
1987,7,21.23,12.22,73.6,93.7
1987,8,19.19,11.02,99.9,81.6
1987,9,16.14,8.1,72,56.9
1987,10,12.06,4.1,25.3,29.3
1987,11,5.35,0.66,69.9,12.1
1987,12,1.77,-2.42,77.9,1.3
1988,1,0.49,-2.84,47.7,0.4
1988,2,0.94,-3.07,30.2,0.5
1988,3,2.8,-2.96,43.5,3.9
1988,4,10.34,1.25,16.3,56.7
1988,5,19.14,8,42,77.8
1988,6,20.62,11.46,75.6,88
1988,7,23.71,14.18,110.3,107.4
1988,8,21.08,12.53,63.9,73.7
1988,9,17.68,10.03,34.4,41.1
1988,10,11.68,3.09,21.4,23.9
1988,11,2.61,-2.81,73.1,2.3
1988,12,1.12,-3.86,69.2,0.5
1989,1,3.84,0.14,29.1,7.1
1989,2,5.27,0.52,30.3,15
1989,3,7.68,1.59,37.1,35.6
1989,4,12.61,3.78,36.1,50.8
1989,5,18.15,6.72,29.8,69.9
1989,6,19.99,10.48,101.7,98.6
1989,7,23.32,12.75,54.7,70.3
1989,8,21.28,12.48,70.8,73.9
1989,9,18.85,9.24,26.5,30.3
1989,10,12.33,6.78,102.2,29.1
1989,11,4.14,-1.07,59.7,7.5
1989,12,2.2,-3.23,67.3,1.1
1990,1,2.98,-1.35,42.2,2.3
1990,2,6.29,0.79,33.6,13.6
1990,3,8.93,2.13,48.3,43.5
1990,4,13.76,2.74,16.6,48.1
1990,5,17.88,6.45,59.7,78.5
1990,6,20.49,10.13,72.5,83.9
1990,7,20.11,12.13,80.5,84.8
1990,8,22.13,12.11,50.7,56.6
1990,9,14.54,8,107.5,49.9
1990,10,12.52,4.92,68.2,30.7
1990,11,6.07,2.06,76.7,13.6
1990,12,0.97,-2.46,36.8,1.1
1991,1,1.91,-3.22,28.6,0.6
1991,2,-1.87,-6.9,38.1,0
1991,3,5.66,0.23,17.7,22.4
1991,4,11.52,2.21,29.1,46.6
1991,5,14.12,5.14,64.6,73.4
1991,6,18.58,9,92.5,92.3
1991,7,23.24,13.29,44.8,83
1991,8,22.62,13.73,87,86.8
1991,9,18.5,9.36,49.4,51.4
1991,10,11.85,4.43,49.1,29.5
1991,11,6.11,2.01,60.2,16.2
1991,12,1.74,-3.24,55,1
1992,1,1.81,-3.19,39.6,0.9
1992,2,2.15,-2.11,46.4,1.4
1992,3,6.53,-0.18,50.7,30.4
1992,4,9.5,2.19,53.8,49.1
1992,5,17.66,6.81,40.8,75.1
1992,6,22.86,10.72,13.5,49
1992,7,24.77,12.91,33.2,42.5
1992,8,24.9,13.67,48,51.4
1992,9,17.04,9.18,122.8,59.1
1992,10,7.98,2.3,57.8,25.8
1992,11,4.9,0.7,80.4,11.2
1992,12,1.87,-2.16,39.5,1.3
1993,1,2.19,-3.14,65.6,1.1
1993,2,0.87,-3.33,36.6,0.6
1993,3,4.1,-1.96,40,13.5
