Year,Month,tmax(degC),tmin(degC),ppt(mm),aet(mm)
1979,1,-2.63,-7.7,28.1,0
1979,2,-0.99,-7.3,16.9,0
1979,3,5.83,-0.61,45.6,26.6
1979,4,12.11,2.81,36.2,55.9
1979,5,20.66,8.41,30.2,79.7
1979,6,24.59,13.46,36.6,50.2
1979,7,19.96,11.25,59.7,63.8
1979,8,22.29,12.15,48.7,50.5
1979,9,18.2,9.23,73.2,58.4
1979,10,11.54,2.67,16.3,20.9
1979,11,5.42,1.07,55.4,16.7
1979,12,4.68,0.06,59,11.4
1980,1,-2.63,-8.27,18,0
1980,2,2.25,-3.3,17.4,1.2
1980,3,4.63,-2.44,24.2,17.9
1980,4,11.46,2.04,46.6,55.9
1980,5,16.56,5.16,21.8,70
1980,6,21.06,11.1,109.2,99.3
1980,7,21.11,12.4,112,90.3
1980,8,21.32,12.09,56.5,71.7
1980,9,18.05,8.88,47.6,49.9
1980,10,12.01,5,45.2,33
1980,11,5.12,0.41,29.2,17.5
1980,12,2.28,-2.33,36.9,1.6
1981,1,0.56,-4.6,39.3,0
1981,2,1.98,-2.95,20.1,1.6
1981,3,9.2,1.95,65.8,38.8
1981,4,12.81,2.39,28,57.8
1981,5,20.68,8.95,40.6,74.3
1981,6,21.95,12.3,64.4,73.6
1981,7,22.36,13.19,147.1,103.4
1981,8,21.66,12.18,51,68.5
1981,9,18.91,9.46,29,36.2
1981,10,11.82,4.91,71.9,31.4
1981,11,6.68,1.59,48.4,20.7
1981,12,-1.7,-6.61,42.6,0
1982,1,-0.82,-6.93,42.6,0
1982,2,1.5,-4.42,10.5,0.5
1982,3,8.51,0.41,27.2,39.7
1982,4,12.18,1.79,27.5,54
1982,5,19.41,7.87,47.6,74.7
1982,6,22.41,11.56,46.9,63.5
1982,7,25.69,13.89,45.5,51.2
1982,8,24.76,13.48,25.7,28.9
1982,9,21.81,10.49,6.1,8.8
1982,10,13.92,6.08,23.8,24.8
1982,11,8.35,2.64,23,20.1
1982,12,3.21,-1.34,34.9,5.1
1983,1,6.14,1.5,54.6,19.5
1983,2,0.69,-5.04,26.7,0
1983,3,7.75,1.39,33.1,31.1
1983,4,14.68,4.95,39.8,55.8
1983,5,19.11,8.95,64.7,78.6
1983,6,23.05,11.77,26.2,55.7
1983,7,27.13,14.67,23.7,32.6
1983,8,24.72,13.07,49.9,52.8
1983,9,19.07,9.72,28.4,30.4
1983,10,13,5.61,30.9,30.8
1983,11,6.06,0.36,29.6,16.1
1983,12,1.59,-3.38,32.5,0.7
1984,1,2.77,-1.7,37.1,4.2
1984,2,1.68,-3.45,20,1.1
1984,3,5.56,-2.45,15.2,21.4
1984,4,13.68,3.22,25.4,53.8
1984,5,18.54,8.26,61.9,71.4
1984,6,19.15,10.27,75.1,82.3
1984,7,21.03,11.86,64.7,77
1984,8,23.4,12.78,44.2,49.6
1984,9,16.8,8.79,48.5,47.7
1984,10,14.14,6.93,25.8,26.3
1984,11,5.93,0.69,27.5,19.6
1984,12,0.83,-3.21,19.4,0.5
1985,1,-3.99,-10.26,24.2,0
1985,2,-2.23,-8.75,21.2,0
1985,3,5.82,-0.17,28,23.4
1985,4,13.29,3.72,37.2,54.9
1985,5,20.86,9.43,45.2,73.7
1985,6,19.52,10.1,83.5,84.8
1985,7,23.61,12.95,46.4,53.6
1985,8,22.83,12.18,100.6,92.9
1985,9,17.44,8.86,38.6,42.5
1985,10,12.48,5.05,12.9,14.8
1985,11,3.32,-1.57,27.8,6.7
1985,12,4.75,-0.15,56,9.9
1986,1,1.71,-3.54,41,1
1986,2,-4.61,-12.14,11,0
1986,3,6.24,-1.17,27.1,26.3
1986,4,12.05,3.29,38.6,51.3
1986,5,21.2,9.6,63.5,91.9
1986,6,21.95,11.11,75,93.2
1986,7,23.9,13.05,56.6,68.7
1986,8,22.29,11.81,73.8,77
1986,9,15.67,7.09,35.1,37.5
1986,10,13.05,4.99,31,30.5
1986,11,8.41,2.97,24.6,17.6
1986,12,2.8,-1.9,67.1,4.3
1987,1,-5.52,-12.3,33,0
1987,2,1.17,-4.24,28.4,0.3
1987,3,2.53,-5.08,18.9,1.5
1987,4,13.79,4.12,42.2,66.5
1987,5,16.24,6.25,36.4,71.4
1987,6,20.21,10.8,71.8,81.8
1987,7,22.88,12.92,90.1,97.3
1987,8,20.01,11.23,69.7,74.2
1987,9,18.32,9.42,66.1,61
1987,10,13.07,4.99,30,31
1987,11,6.9,2.78,59.2,19.1
1987,12,3.05,-1.45,36.9,3.8
1988,1,4.53,0.33,42.1,13.7
1988,2,4.04,-0.61,44,12.4
1988,3,5,-1.35,43.1,23.3
1988,4,14.07,3.12,20.7,58
1988,5,21.19,9.35,25.7,59.9
1988,6,21.12,11.74,102.1,99.1
1988,7,24.24,13.35,102,102.6
1988,8,22.76,12.32,38.6,43.4
1988,9,17.99,9.61,52.9,51.5
1988,10,12.89,5.11,13.7,16.7
1988,11,4.56,-1.45,39.9,13.6
1988,12,4.1,-0.46,49.9,12.9
1989,1,4.75,-0.46,15.5,8.1
1989,2,6.43,0.54,23.1,16.2
1989,3,10.36,1.98,25,36.5
1989,4,14.01,4.15,31.5,51
1989,5,20.66,8.31,16.3,37.4
1989,6,22.23,10.88,46.3,52.6
1989,7,24.43,13.25,61.2,63
1989,8,23.29,12.57,47.3,48
1989,9,20.25,10.44,22.5,23.6
1989,10,14.36,6.84,27.5,27.5
1989,11,5.04,-0.89,35,9.3
1989,12,3.58,-1.72,44.1,4.6
1990,1,4.75,0.16,18.2,10.4
1990,2,8.87,1.78,22.7,24
1990,3,10.96,3.11,25.1,37.6
1990,4,14.06,3.66,36.2,50.4
1990,5,20.84,8.6,22.9,39.5
1990,6,21.66,11.88,77.3,81.1
1990,7,22.82,12.36,48.3,50.3
1990,8,24.45,12.61,48.5,49
1990,9,15.86,8.06,59.4,52.8
1990,10,14,5.44,28.2,28.2
1990,11,6.73,2.18,42.2,14.9
1990,12,1.67,-2.48,38.5,1.3
1991,1,3.64,-1.69,18,5.9
1991,2,-0.44,-6.67,11.7,0
1991,3,9.3,1.68,23.1,33.7
1991,4,13.63,3.27,39.6,53.2
1991,5,14.99,5.76,48.9,64.9
1991,6,19.87,10.02,89.4,91.7
1991,7,25.69,14.43,34.1,49.8
1991,8,23.29,13.39,44.7,50.1
1991,9,20.23,9.79,28,31
1991,10,12.5,3.91,24.7,25.2
1991,11,6.17,1.33,37.9,13.8
1991,12,2.18,-3.06,42.5,1
1992,1,2.94,-2.53,22.1,2.6
1992,2,5.12,-0.34,27.4,13.6
1992,3,7.93,0.44,76.1,36.4
1992,4,13.87,3.82,19.5,51.7
1992,5,20.78,8.81,28.7,63.5
1992,6,25.88,13.32,14.9,24.9
1992,7,26.46,14.53,34.3,38.2
1992,8,26.12,14.72,50.8,51.8
1992,9,18.45,8.92,24.3,25.5
1992,10,9.92,2.09,24.9,24.7
1992,11,6.78,1.69,39.8,16.8
1992,12,1.54,-2.94,31.6,0.5
1993,1,4.1,-2.06,49.8,7.1
1993,2,1.82,-3.34,28.1,0.9
1993,3,6.54,-0.98,24.3,30.8
1993,4,16.31,5.11,13.6,57.7
1993,5,22.75,10.26,49.9,77.9
1993,6,20.93,11.03,81.3,87.2
1993,7,21.66,12.11,120.9,112.9
1993,8,21.27,11.42,59.4,62.7
1993,9,16.57,8.42,63.4,53.7
1993,10,11.9,4.29,23.8,24.2
1993,11,1.77,-2.68,28.9,1.6
1993,12,4.17,-0.41,81.1,9
1994,1,4.78,0.16,55.8,13.9
1994,2,1.02,-4.91,15.7,0.5
1994,3,8.43,1.4,73.3,37.5
1994,4,14.71,4.44,44.1,59.3
1994,5,18.62,7.67,51.8,77.4
1994,6,21.6,11.08,35.9,60.4
1994,7,28.92,16.07,34.4,42.1
1994,8,23.96,13.28,61.7,63.7
1994,9,17.87,10.15,64.2,54
1994,10,11.06,2.91,26.6,26.9
1994,11,8.04,2.64,30,21.4
1994,12,4.43,-0.39,54.1,9.6
1995,1,2.27,-3.28,39.4,1.3
1995,2,6.9,0.74,37.4,20.1
1995,3,6.88,-0.84,39.9,33.4
1995,4,13.61,4.16,27.5,54.7
1995,5,18.62,7.67,56.3,80
1995,6,20.8,11.09,84.1,88.1
1995,7,27.06,15.19,37.9,50.2
1995,8,25.3,13.04,67.9,71.3
1995,9,17.44,9.15,61.8,51.4
