Year,Month,tmax(degC),tmin(degC),ppt(mm),aet(mm)
1979,1,-3.31,-7.9,44.2,0
1979,2,-1.56,-7.25,24.1,0
1979,3,4.55,-0.94,58.6,19.9
1979,4,11.05,2.72,36.6,58.4
1979,5,18.88,7.98,52.7,83.6
1979,6,21.67,11.72,41.6,71
1979,7,18.58,11.45,92.8,91.5
1979,8,21.08,12.33,85.9,83.1
1979,9,17.02,9.45,67,53.7
1979,10,11.11,3.03,20.2,23.9
1979,11,5.15,1.3,86.1,16.1
1979,12,3.82,-0.35,71.8,8.1
1980,1,-2.9,-8.24,30.3,0
1980,2,1.24,-3.45,29.6,0.6
1980,3,3.56,-2.51,25.3,10.7
1980,4,10.73,2.17,57.8,53
1980,5,14.98,4.8,23.3,65.7
1980,6,18.91,9.97,162.3,90
1980,7,20.07,12.84,120.3,89.1
1980,8,20.34,12.71,96,82
1980,9,17.5,9.64,53.2,52.9
1980,10,11.38,5.14,93.6,30
1980,11,5.08,0.75,63.3,17.7
1980,12,2.16,-1.97,62.4,1.4
1981,1,-0.03,-4.8,57,0
1981,2,1.65,-2.64,41.3,1.6
1981,3,7.5,1.33,83.3,35.1
1981,4,11.78,2.59,21.1,52.2
1981,5,19.13,8.29,54.5,75.6
1981,6,19.16,10.83,110.1,91.3
1981,7,21.03,13.17,106.9,97.9
1981,8,20.77,12.45,69,75.1
1981,9,17.97,9.96,47.3,46.8
1981,10,11.1,4.85,112.7,29.4
1981,11,6.46,1.8,103.8,19
1981,12,-1.85,-6.65,53.8,0
1982,1,-1.9,-7.49,68.7,0
1982,2,0.73,-4.24,14.5,0.3
1982,3,7.49,0.38,32.4,35.8
1982,4,11.5,2.43,31.5,54.3
1982,5,17.69,7.49,51.4,72.4
1982,6,19.73,10.04,84.6,91.6
1982,7,23.94,13.81,44,57.1
1982,8,23.75,13.85,42.2,46.9
1982,9,20.23,10.6,11.4,14.9
1982,10,13.29,6.31,45.4,34
1982,11,7.99,2.9,32.5,19.9
1982,12,2.97,-1.16,52.4,4.1
1983,1,5.04,0.91,74.8,13.3
1983,2,0.67,-4.33,37.3,0.5
1983,3,6.79,1.29,58.5,29.1
1983,4,13.03,4.65,66.1,58.2
1983,5,17.07,8.09,82.7,80.1
1983,6,20.53,10.47,33.5,83.5
1983,7,25.06,14.68,19.7,35.6
1983,8,23.83,13.35,63.6,67.7
1983,9,18.01,10.35,75,64.1
1983,10,12.26,5.88,55.6,36.8
1983,11,5.96,0.81,57.9,14.6
1983,12,1.47,-3.04,47.9,0.7
1984,1,1.86,-2.15,67,1.5
1984,2,1.24,-3.23,29.6,0.9
1984,3,4.77,-2.3,12.4,16.2
1984,4,12.99,3.38,23.3,59.2
1984,5,17.34,7.55,67.6,75.2
1984,6,16.95,9.22,136.1,85.1
1984,7,19.84,12.28,83.5,93
1984,8,22.72,13.32,42.3,71
1984,9,16.07,9.07,74.4,53.8
1984,10,13.36,7.27,48.3,31.3
1984,11,5.78,1.13,37.2,19
1984,12,1.05,-2.77,29.5,0.6
1985,1,-3.91,-9.98,46.8,0
1985,2,-2.4,-8.43,35.7,0
1985,3,4.73,-0.47,37.7,18.9
1985,4,12.03,3.54,53.3,61
1985,5,18.73,7.89,54.3,80.2
1985,6,17.75,9.29,94.2,89.8
1985,7,22.25,13.21,61,87.4
1985,8,21.53,12.6,90.1,85.2
1985,9,16.23,9.06,83.5,56.8
1985,10,12.25,5.76,18,20.3
1985,11,3.21,-1.16,48.2,7.4
1985,12,4.2,-0.36,84.8,7.8
1986,1,0.47,-4.21,70.3,0.3
1986,2,-3.83,-10.66,16.8,0
1986,3,5.51,-1.27,37.7,22.1
1986,4,10.38,2.6,58.1,50.1
1986,5,19.24,8.66,60.7,85.6
1986,6,19.54,9.91,80.1,90.6
1986,7,22.46,13.35,80.1,93
1986,8,21.41,12.04,100.7,94
1986,9,14.62,7.48,60.3,55.3
1986,10,12.26,5.25,41.3,32.2
1986,11,8,3.47,47.5,16.7
1986,12,2.68,-1.74,73.1,3.7
1987,1,-5.07,-11.68,43.6,0
1987,2,0.65,-4.34,43.1,0.3
1987,3,1.82,-4.98,20.8,1.2
1987,4,12.46,4.02,51.7,61.1
1987,5,14.67,5.6,49.6,71.3
1987,6,17.8,9.36,93.2,87
1987,7,20.77,12.76,116.6,104.3
1987,8,19.23,11.61,95,82.6
1987,9,16.99,9.46,90.4,56.6
1987,10,12.42,5.25,38.3,33.5
1987,11,6.61,2.78,85.4,17
1987,12,2.78,-1.34,54.6,3
1988,1,3.5,-0.32,61.5,8.6
1988,2,3.68,-0.5,64.9,12
1988,3,4.51,-1.19,45.3,21.8
1988,4,12.66,3.34,34.3,59.4
1988,5,19.29,8.46,42.2,76.2
1988,6,19.17,10.84,118.7,95.8
1988,7,22.73,13.72,124.7,107.7
1988,8,21.55,12.67,41.3,68.7
1988,9,17.35,10.02,75,55.2
1988,10,12.17,4.97,30.6,32.1
1988,11,4.72,-0.94,63.6,14.4
1988,12,3.72,-0.56,64.9,10.3
1989,1,3.96,-0.51,23,5.2
1989,2,5.88,0.82,31,17
1989,3,9.3,2.2,42.2,41.4
1989,4,13.07,4.26,30.8,53.8
1989,5,19.23,8.19,11.8,49.5
1989,6,20.46,10.29,56.4,64
1989,7,23.21,13.64,95.9,96.5
1989,8,22.09,12.89,83.6,82.7
1989,9,19.6,10.77,29,29.9
1989,10,13.72,7.15,58.1,33.9
1989,11,5.46,-0.04,44.8,10.9
1989,12,3.37,-1.66,62.4,4.1
1990,1,4.03,0.06,40,7.8
1990,2,8.2,2,40.8,23.6
1990,3,9.92,3.15,42.9,44.7
1990,4,13.71,4.31,39,56.4
1990,5,19.46,8.45,39.6,74.3
1990,6,19.65,11.09,71.8,77.4
1990,7,21.17,12.92,74,78.1
1990,8,23.33,13.28,65.6,66.7
1990,9,15.37,8.78,137.5,51.5
1990,10,13.28,5.86,29.6,30.1
1990,11,6.41,2.19,70,12.3
1990,12,1.79,-2.12,40.7,1.5
1991,1,2.87,-2.03,31.8,2.6
1991,2,-0.28,-5.62,25.6,0
1991,3,8.27,1.41,26,30.5
1991,4,12.76,3.56,52.2,56.6
1991,5,13.95,5.68,60.6,70.2
1991,6,17.28,8.78,162.5,84.2
1991,7,23.97,14.45,49.1,94.5
1991,8,22.36,13.88,90.2,88.1
1991,9,19.06,10.16,44.4,50.4
1991,10,12.14,4.64,42.9,30.8
1991,11,6.09,1.79,49.9,13.9
1991,12,2.69,-2.11,59.4,2.1
1992,1,2.42,-2.78,24.6,1.2
1992,2,4.67,-0.11,41.5,13.3
1992,3,7.44,0.87,91.5,35.3
1992,4,13.02,4.19,31.8,53.5
1992,5,19.29,8.54,38.9,74.8
1992,6,23.67,12.25,11.3,22.8
1992,7,24.94,14.64,40.7,44.6
1992,8,24.3,14.63,92.2,91
1992,9,17.52,9.49,55.3,54
1992,10,9.38,2.39,39.3,29.6
1992,11,6.3,1.74,82.9,15
1992,12,1.86,-2.37,35.2,0.7
1993,1,3.01,-2.47,70.6,2.7
1993,2,1.73,-2.46,40,1.4
1993,3,6.14,-0.4,29.3,30.7
1993,4,14.77,4.93,21.6,55.9
1993,5,20.77,9.19,51,80.2
1993,6,18.77,9.97,86.9,90.2
1993,7,20.18,12.32,140.7,104.4
1993,8,20.07,11.67,84.2,84.3
1993,9,15.28,8.65,105.1,48.7
1993,10,11.18,4.33,29,26.7
1993,11,2.11,-1.95,30.7,2.9
1993,12,3.51,-0.62,95,6
1994,1,3.54,-0.76,98.5,7.1
1994,2,0.33,-4.76,21.6,0
1994,3,7.2,1.06,86.8,35.3
1994,4,13.71,4.62,35.2,53.7
1994,5,17,7.01,58.5,76.1
1994,6,19.06,9.76,53.5,76.6
1994,7,27.08,16.16,17.9,26.6
1994,8,23.28,13.64,71.7,73.3
1994,9,16.89,10.36,85,51.7
1994,10,10.69,3.58,47.8,31.8
1994,11,7.76,2.85,50.7,19.8
1994,12,4.25,-0.18,83.3,8.6
1995,1,1.42,-3.68,72.8,0.6
1995,2,6.03,0.57,56.5,19.4
1995,3,6.33,-0.55,48.2,33.6
1995,4,12.46,3.96,50.9,61
1995,5,17.12,7.1,67.2,82.2
1995,6,18.75,10,98,92
1995,7,25.02,14.9,47.5,80.2
1995,8,24.81,13.93,85.4,89.4
1995,9,16.89,9.86,105.3,51.5
1995,10,14.89,7.48,23,24.8
1995,11,4.62,-0.97,41.6,11.6
1995,12,-2.05,-6.53,28.6,0
1996,1,-2.71,-7.2,4.7,0
1996,2,-1.21,-7.26,40.3,0
1996,3,2.58,-3.82,13.4,2.7
1996,4,14.19,3.33,19.2,68.5
1996,5,15.11,6.78,100.9,73.4
1996,6,19.17,10.14,56.7,82.4
1996,7,19.94,11.71,154.4,101.5
1996,8,23.12,13.4,102.6,92.7
1996,9,14.9,7.77,68,54.2
1996,10,12.78,5.83,53.4,24.9
1996,11,6.72,2.19,49.3,14.5
1996,12,-1.1,-6.07,17.4,0
1997,1,-0.79,-6.46,3.1,0
1997,2,5.32,-0.25,65.4,17.3
1997,3,7.58,0.35,36.9,38.3
1997,4,10.88,2.4,48.6,59.9
1997,5,16.99,7.11,82.9,87.1
1997,6,20.45,10.39,80.5,92.5
1997,7,22.74,13.81,111.8,106.4
1997,8,25.68,14.53,41.7,67.3
1997,9,18.35,9.69,70.8,65.5
1997,10,10.9,4.08,99.5,32.5
1997,11,5.11,0.58,19.1,9.8
1997,12,2.61,-1.33,42.1,3.2
1998,1,3.59,-1.29,61.5,3.5
1998,2,6.48,1.46,59.8,19.9
1998,3,6.84,-0.25,65.7,38
1998,4,13.96,5.33,60.6,60.1
1998,5,19.01,8.54,61.9,86.4
1998,6,20.09,11.09,102.8,99.4
1998,7,20.7,12.69,104.1,102.6
1998,8,20.27,12.12,112.8,89
1998,9,17.44,10,79.1,53.1
1998,10,11.02,5.23,99.1,37.7
1998,11,2.64,-1.62,65.3,4.5
1998,12,1.39,-3.23,66.2,0.5
1999,1,3.26,-1.82,44.2,3.5
1999,2,2.46,-2.73,56,2.4
1999,3,7.65,0.67,56.3,29.4
1999,4,13.88,4.94,83.4,61.7
1999,5,17.9,7.38,72,88.6
1999,6,19.96,10.31,72,80.2
1999,7,24.57,15.01,47.6,78
1999,8,22.94,12.94,80.7,83.2
